job-title,company,locations,edited_job-title,edited_company,edited_locations,years_of_experience,job_description,job_type
Splunk Engineer,Capgemini Technology Services India Limited,"Bengaluru, Mumbai, Pune",Splunk-Engineer,Capgemini-Technology-Services-India-Limited,Bengaluru-Mumbai-Pune,4-9 Years,"Job descriptionExperience with enterprise SIEM architecture, Administration, Upgrades etc.Familiar with Spunk cloud platform.Logging enrolments from multi-tier applications or custom applications into Splunk.Onboarding a new custom log source, performing parsing, transforms & validation.Troubleshoot technical issues to establish the root cause problems & form a solution.Renewing SSL certificates in Splunk Infrastructure.Implement and manage user authentication and authorization.Configure role-based access controls (RBAC).Ensure data security and compliance with organizational policies.Well versed in Splunk SPL queries, Reports & Dashboards.Primary Skills:SplunkSPL",Permanent Job
OpenWRT Lead,Capgemini Technology Services India Limited,Chennai,OpenWRT-Lead,Capgemini-Technology-Services-India-Limited,Chennai,8-12 Years,"Job descriptionTech Lead8+ years of embedded, routing device developmentAt least 2 years as a tech leadAt least 1 year experience with openWRT based router / embedded device development (Or Experience with RDK B)Strong skills in UCI / netifd / ubus / opkg /uboot / Build System preferredExpertise in IP Routing, NAT, Firewall, PON / DSL, IPSec, uboot, Wifi",Permanent Job
Learning & Development Specialist,Capgemini Technology Services India Limited,Kolkata,Learning-Development-Specialist,Capgemini-Technology-Services-India-Limited,Kolkata,4-6 Years,"Job descriptionLearning and Development Specialists support the drive to a culture of continuous learning. They create, design and deliver the next-gen learning programs, tools and practices in some global portfolio areas and in alignment with the global learning portfolio and local business requirements.Job Description - Grade SpecificAble support and guide the efficient and effective delivery of services to multiple stakeholder groups in specific domain area or funtion.Typically leads more than one project area or workstream.Produces additional value to the domain area outside of one's roles and responsibilities.",Permanent Job
Datacom Architect,Capgemini Technology Services India Limited,Chennai,Datacom-Architect,Capgemini-Technology-Services-India-Limited,Chennai,5-10 Years,"Job DescriptionExp:5-10 Years:Job Description:Should have design knowledge for L3/datacom featuresGood understanding of datacom protocol standardsVery strong in C programmingWorking knowledge on protocol ISIS, BGP, BFD, MPLSWorking experience on Linux Kernel ForwardingProject working experience on NetconfContribution to design and review process",Permanent Job
SailPoint IDN Developer,Capgemini Technology Services India Limited,"Delhi, Bengaluru, Mumbai",SailPoint-IDN-Developer,Capgemini-Technology-Services-India-Limited,Delhi-Bengaluru-Mumbai,6-11 Years,"Job descriptionRole & responsibilitiesAbility to support SailPoint IdentityNow solution, including configuration, customization, and integration with other systems.Experience to build automation assets using SailPoint IdentityNow technologies (transforms, Roles, Rules, access policies, postman APIs)Familiarity with directory services (Active Directory, LDAP), HR systems, and cloud platforms.Conduct thorough testing of SailPoint IdentityNow solutions, troubleshoot issues and provide resolution.Monitor system performance, identify areas for optimization and implement necessary improvements.Assist in defining and implementing SailPoint IdentityNow governance policies and access controls.Document system configurations, processes and procedures, ensuring comprehensive and up-to-date documentation.Understanding of authentication protocols (SAML, OAuth, LDAP) and web services (REST, SOAP).Able to work on ServiceNow incidents, tasks, and tickets, ensuring timely and accurate resolution.Knowledge of identity and access management concepts, including user provisioning, role-based access control and access certifications.Hands-on experience with SailPoint IdentityNow configuration, workflows, rules, and policies.Preferred candidate profileCandidates must be available to join immediately or within a minimum of 60 days.",Permanent Job
Azure Sentinel Engineer,Capgemini Technology Services India Limited,"Bengaluru, Mumbai, Pune",Azure-Sentinel-Engineer,Capgemini-Technology-Services-India-Limited,Bengaluru-Mumbai-Pune,6-8 Years,"Job descriptionConfigure, manage, and maintain Azure Sentinel to ensure optimal performance and reliability, with continuous monitoring for performance improvements and potential issues.Set up and fine-tune data connectors to ensure accurate and timely data ingestion.Develop and optimize analytic rules, playbooks, and workbooks to enhance threat detection and response capabilities, using Kusto Query Language (KQL) for complex queries and data analysis to support incident investigations.Ensure seamless integration of Azure Sentinel with other security tools and platforms, independently handling new integrations and data sources to maintain smooth functionality.Manage and automate workflows using Azure Logic Apps and Azure Functions to streamline security operations and enhance efficiency.Maintain and optimize log management processes for improved performance and accuracy, ensuring proper data processing and storage.Primary Skills:KQLAzure Sentinel Admin",Permanent Job
SAP CPI Consultant,Capgemini Technology Services India Limited,"Bengaluru, Mumbai, Pune",SAP-CPI-Consultant,Capgemini-Technology-Services-India-Limited,Bengaluru-Mumbai-Pune,5-10 Years,"Role & responsibilitiesCandidate Should have 4 -8 years experience in SAP Integration suite or CPI or HCI , CIG,SAP API Management, and PI/PO SAP PO 7.5 experience person is preferred. Experience in implementation or migration and support preferred. Should have experience in coordinating with clients. Should have good experience on sap Integration suite. Should have good knowledge or experience in CIG and API management. Should have worked on groovy scripts, Graphical Mapping, XSLT and Java mapping. Adapters: HTTP/HTTPS, SOAP, Odata, SFTP, RFC, SUCCESS FACTORS, JMS Should have experience in Iflow configuration and PI ICO configurations. Should have worked on CTS+. Should have well experience in monitoring and troubleshooting PI and CPI issues. Should have knowledge on digital transformation, on premise integration, API Management. And integration domains in the cloud context. Should have experience on Artifacts like integration flow/O data services/value mapping. Should have experience on integration palettes/Transformations. Should have experience on security of messages processing techniques like signer/encryption/decryption/verifier. Should have good knowledge working with cloud connector. Should have knowledge on tenant management. GCP Experience or Knowledge in APIGEE,PUB/SUB,GCS are preferred.",Permanent Job
Celonis Tech Lead,Infosys BPM Limited,Bengaluru,Celonis-Tech-Lead,Infosys-BPM-Limited,Bengaluru,3-6 Years,"ResponsibilitiesWork with enterprise customers as part of the customer value journey and lead the technical onboarding process of CelonisLead technical discussions with customers to identify key system architecture components; propose and help customers build solutions that unblock deploymentsEstablish real-time integrations to customer source systems via APIs and Celonis internal integration solutionsAdvise customers of authentication and user/group management and provisioning solutions for the Celonis platformEliminate any technical barriers to user adoption of CelonisDevelop best practices & blueprints that can be used internally & externally to enable the full Celonis ecosystemLeverage your technical expertise contributing to global programs within the services organizationQualificationsA Bachelors (required) or Masters degree (preferred) in Computer Science, Information Systems, Engineering, or a related disciplineSolid experience with project management, outstanding customer-centric & proven experience working with customers Experience & interest in working with modern tech stack & methods like REST/SOAP API-Management, Data Ingestion & Streaming, SSO, LDAP, IT Security, Python, Agile, etc.Experience with SQL & Python as well as with data pipelines & ETL processes for large volumes of dataKnowledgeable about security and compliance topics for enterprise applicationsA solution-oriented professional that enjoys deep technical discussions as much as transferring your technical knowledge into understandable terms to a broader audienceExperience with at least one of the major cloud platforms (AWS, Azure, GCP) would be a plus Strong communication skills",Permanent Job
Solution Architect,Wipro Limited,Hyderabad,Solution-Architect,Wipro-Limited,Hyderabad,3-6 Years,"Role PurposeThe purpose of the role is to create exceptional architectural solution design and thought leadership and enable delivery teams to provide exceptional client engagement and satisfaction.1.Develop architectural solutions for the new deals/ major change requests in existing dealsCreates an enterprise-wide architecture that ensures systems are scalable, reliable, and manageable.Provide solutioning of RFPs received from clients and ensure overall design assuranceDevelop a direction to manage the portfolio of to-be-solutions including systems, shared infrastructure services, applications in order to better match business outcome objectivesAnalyse technology environment, enterprise specifics, client requirements to set a collaboration solution design framework/ architectureProvide technical leadership to the design, development and implementation of custom solutions through thoughtful use of modern technologyDefine and understand current state solutions and identify improvements, options & tradeoffs to define target state solutionsClearly articulate, document and sell architectural targets, recommendations and reusable patterns and accordingly propose investment roadmapsEvaluate and recommend solutions to integrate with overall technology ecosystemWorks closely with various IT groups to transition tasks, ensure performance and manage issues through to resolutionPerform detailed documentation (App view, multiple sections & views) of the architectural design and solution mentioning all the artefacts in detailValidate the solution/ prototype from technology, cost structure and customer differentiation point of viewIdentify problem areas and perform root cause analysis of architectural design and solutions and provide relevant solutions to the problemCollaborating with sales, program/project, consulting teams to reconcile solutions to architectureTracks industry and application trends and relates these to planning current and future IT needsProvides technical and strategic input during the project planning phase in the form of technical architectural designs and recommendationCollaborates with all relevant parties in order to review the objectives and constraints of solutions and determine conformance with the Enterprise ArchitectureIdentifies implementation risks and potential impacts2.Enable Delivery Teams by providing optimal delivery solutions/ frameworksBuild and maintain relationships with executives, technical leaders, product owners, peer architects and other stakeholders to become a trusted advisorDevelops and establishes relevant technical, business process and overall support metrics (KPI/SLA) to drive resultsManages multiple projects and accurately reports the status of all major assignments while adhering to all project management standardsIdentify technical, process, structural risks and prepare a risk mitigation plan for all the projectsEnsure quality assurance of all the architecture or design decisions and provides technical mitigation support to the delivery teamsRecommend tools for reuse, automation for improved productivity and reduced cycle timesLeads the development and maintenance of enterprise framework and related artefactsDevelops trust and builds effective working relationships through respectful, collaborative engagement across individual product teamsEnsures architecture principles and standards are consistently applied to all the projectsEnsure optimal Client EngagementSupport pre-sales team while presenting the entire solution design and its principles to the clientNegotiate, manage and coordinate with the client teams to ensure all requirements are met and create an impact of solution proposedDemonstrate thought leadership with strong technical capability in front of the client to win the confidence and act as a trusted advisor3.Competency Building and BrandingEnsure completion of necessary trainings and certificationsDevelop Proof of Concepts (POCs),case studies, demos etc. for new growth areas based on market and customer researchDevelop and present a point of view of Wipro on solution design and architect by writing white papers, blogs etc.Attain market referencability and recognition through highest analyst rankings, client testimonials and partner creditsBe the voice of Wipros Thought Leadership by speaking in forums (internal and external)Mentor developers, designers and Junior architects in the project for their further career development and enhancementContribute to the architecture practice by conducting selection interviews etc4.Team ManagementResourcingAnticipating new talent requirements as per the market/ industry trends or client requirementsHire adequate and right resources for the teamTalent ManagementEnsure adequate onboarding and training for the team members to enhance capability & effectivenessBuild an internal talent pool and ensure their career progression within the organizationManage team attritionDrive diversity in leadership positionsPerformance ManagementSet goals for the team, conduct timely performance reviews and provide constructive feedback to own direct reportsEnsure that the Performance Nxt is followed for the entire teamEmployee Satisfaction and EngagementLead and drive engagement initiatives for the teamTrack team satisfaction scores and identify initiatives to build engagement within the team",Permanent Job
IBM MDM,HCL Technologies Limited,"Bengaluru, Chennai, Noida",IBM-MDM,HCL-Technologies-Limited,Bengaluru-Chennai-Noida,8-13 Years,"Role & responsibilities:Strong expertise and hands-on experience in design & build utilizing Java/J2EE technologyExcellent hands-on development experience in IBM Infosphere MDM Advanced Edition v11.x.Able to demonstrate experience with software engineering practices including CI/CD, Automated testing and Performance Engineering.Experience with Agile development methodology.Experience working with a distributed version control and source code management tool such as Git.Good problem solving and troubleshooting skills.Team player, collaborative approach and excellent communication skills Zeal to contribute in production support space and enhancements through code fixes where necessary.Flexibility in multitasking and able to contribute beyond squad specific allocation.Able to bring initiatives and innovations that helps simplify processes and automate monotonous tasks.Strong engineering skills with a combination of the followingExperience working with container technologies like Docker, OpenShift and Kubernetes.Solid understanding of Java/J2EE/Spring/Microservice/API development to be able to design, build, test and support them in production.Kafka and stream processingExpertise with building CI/CD pipelines using Bamboo (or similar)Expertise with Maven, Robot, Mockito, Junit and JMeter Experience in Python and/or shell scriptingNice to haveExperience as a Site Reliability engineer is a huge plus Experience with Splunk, DynatraceExperience working with Connect-Direct and Ctrl-m Scheduler.Experience Elastic Search (ELK Stack)Experience in RedHat Decision Manager",Permanent Job
Sap Abap Consultant,HCL Technologies Limited,"Chennai, Bengaluru",Sap-Abap-Consultant,HCL-Technologies-Limited,Chennai-Bengaluru,5-8 Years,"DescriptionWe are seeking an experienced SAP ABAP Consultant to join our team. The ideal candidate should have 5-8 years of experience in the field of SAP ABAP programming and should be able to work in a fast-paced environment. The role requires the candidate to be highly analytical, detail-oriented, and have excellent problem-solving skills.ResponsibilitiesDesign, develop, and maintain SAP ABAP programsDebugging and troubleshooting SAP ABAP programsCollaborate with functional and technical teams to ensure delivery of high-quality solutionsPerform code reviews and ensure adherence to coding standardsConduct unit testing and integration testing to ensure that the application is working correctlyProvide support and maintenance to existing SAP ABAP programsIdentify areas of improvement and provide suggestions for process optimizationSkills and QualificationsBachelor's degree in Computer Science, Information Technology or equivalent5-8 years of experience in SAP ABAP programmingStrong knowledge of SAP ABAP programming languageKnowledge of SAP modules such as FI, CO, SD, MM, etc.Proficient in debugging and troubleshooting SAP ABAP programsExperience in developing BAPIs, RFCs, and ABAP reportsExperience in developing and maintaining SAP scripts and Smart FormsExperience in SAP UI5 and Fiori development is a plusExcellent communication and interpersonal skillsAbility to work in a team environment and collaborate with cross-functional teams",Permanent Job
Technology Architect,Wipro Limited,Chennai,Technology-Architect,Wipro-Limited,Chennai,6-11 Years,"Role PurposeTo ensure success as a technical architect, you should have extensive knowledge of enterprise networking systems, advanced problem-solving skills, and the ability to project manage. A top-class technical architect can design and implement any size system to perfectly meet the needs of the client.Responsibilities:Meeting with the IT manager to determine the companys current and future needs.Determining whether the current system can be upgraded or if a new system needs to be installed.Providing the company with design ideas and schematics.Project managing the design and implementation of the system.Meeting with the software developers to discuss the system software needs.Troubleshooting systems issues as they arise.Overseeing all the moving parts of the system integration.Measuring the performance of the upgraded or newly installed system.Training staff on system procedures.Providing the company with post-installation feedback.Technical Architect Requirements:Bachelors degree in information technology or computer science.Previous work experience as a technical architect.Managerial experience.In-depth knowledge of enterprise systems, networking modules, and software integration.Knowledge of computer hardware and networking systems.Familiarity with programming languages, operating systems, and Office software.Advanced project management skills.Excellent communication skills.Ability to see big-picture designs from basic specifications.Ability to problem solve complex IT issues.",Permanent Job
Sap Project System Consultant,Tata Consultancy Services Limited,"Hyderabad, Bengaluru, Mumbai",Sap-Project-System-Consultant,Tata-Consultancy-Services-Limited,Hyderabad-Bengaluru-Mumbai,5-10 Years,"Job descriptionRole & responsibilities:Sound knowledge about Project Life cycle phases, End to End Business Process, Master data, SAP PS Functionalities.Worked on SAP PS Customization and ABAP Developments.Integration knowledge: SAP PS integration with other SAP Modules (Ex. MM, SD, FICO, HR).Analytical skills to build Problem statements and come up with Solution statements.",Permanent Job
Servicenow Architect,Wipro Limited,"Hyderabad, Bengaluru, Chennai",Servicenow-Architect,Wipro-Limited,Hyderabad-Bengaluru-Chennai,5-10 Years,"Roles and ResponsibilitiesDesign, develop, and implement ServiceNow solutions to meet business requirements.Lead cross-functional teams to deliver high-quality projects on time and within budget.Collaborate with stakeholders to gather requirements, define project scope, and create detailed design documents.Develop technical roadmaps for IT service management (ITSM) implementation using ServiceNow platform.Ensure compliance with industry standards such as ITIL v3/4 framework.Desired Candidate Profile5-10 years of experience in ServiceNow Lead role.Strong expertise in CSM, HRSd, Integration modules of ServiceNow platform.Proven track record of leading complex projects from initiation to delivery.",Permanent Job
MuleSoft Developer,Tata Consultancy Services Limited,"Hyderabad, Bengaluru, Chennai",MuleSoft-Developer,Tata-Consultancy-Services-Limited,Hyderabad-Bengaluru-Chennai,4-8 Years,"Job descriptionExpert in building MuleSoft Integrations and APIs.Experience integrating a portfolio of SAAS applications.Document Design and Runbooks.Designs, develops, and maintains complex applications.Support MuleSoft architecture process including system, process, and experience APIs.Responsible for the analysis, design, implementation, and deployment of full software development life cycle (SDLC) of MuleSoft project using AGILE process.Implemented orchestration APIs for the scale ticket integrations.Responsible for impact analysis document review, code review and Junit test cases.Integration of various systems utilizing Queues, Topics, Http, File system, DBs and SFTP components.Experience in Mule components that includes File, SMTP, FTP, SFTP, and database Connectors.Developed Restful/SOAP web services in Mule ESB based on SOA architecture.Design and Implemented RESTFUL Web Services using various data format (JSON, XML) to provide an interface to the various third-party applications.Experience in MuleSoft Anypoint API platform on designing and implementing Mule APIs by documenting and designing REST API's using RAML.Hand-on experience with transformers, exception handling, testing & Security of Mule ESB endpoint through Oath.Write MUnit test cases to validate the Mule flows.",Permanent Job
Servicenow Lead,Wipro Limited,"Hyderabad, Bengaluru, Chennai",Servicenow-Lead,Wipro-Limited,Hyderabad-Bengaluru-Chennai,5-10 Years,"Roles and ResponsibilitiesDesign, develop, and implement ServiceNow solutions to meet business requirements.Lead cross-functional teams to deliver high-quality projects on time and within budget.Collaborate with stakeholders to gather requirements, define project scope, and create detailed design documents.Develop technical roadmaps for IT service management (ITSM) implementation using ServiceNow platform.Ensure compliance with industry standards such as ITIL v3/4 framework.Desired Candidate Profile5-10 years of experience in ServiceNow Lead role.Strong expertise in CSM, HRSd, Integration modules of ServiceNow platform.Proven track record of leading complex projects from initiation to delivery.",Permanent Job
.NET technical lead,Wipro Limited,"Chennai, Pune",-NET-technical-lead,Wipro-Limited,Chennai-Pune,7-11 Years,"7+ years of experience in , design and implement cutting edge technology solutionsExcellent Knowledge in web technologies like Angular, Node, ASP.NET MVC5, C#, SQL Server, .Net Core and AzureHands on experience in .Net Microservices, Azure cloud and App ServicesTest driven development experienceExposure to large scale UI migration projectExcellent leadership & communication skillRigorous focus on refactoring and re-architecting as needed, to keep the technology maintainable, scalable, reliable and easy and quick to enhanceConstantly look for ways to improve the speed and quality of technology deliveryMentor, coach and guide a team of smart, talented engineersExperience in implementing efficient ways to deliver technology products, this includes but not limited to Extreme programming, Pair Programming, Behavior driven development, Dev Ops, or something that is customizedNice to have knowledge in health care domain",Permanent Job
Active Directory Administrator,Tata Consultancy Services Limited,Bengaluru,Active-Directory-Administrator,Tata-Consultancy-Services-Limited,Bengaluru,7-10 Years,"Job descriptionRole-Active Directory.Required Technical Skill Set- Azure ADDesired Experience Range-7 to 10 years.Location of Requirement-Bangalore.Desired Competencies (Technical/Behavioral Competency)Must-Have**Azure Active Directory ConnectPass-Thru Authentication (PTA)/Password hash Sync (PHS)Azure Active DirectoryAzure AD Role Based Access Control (RBAC)Azure Privileged Identity Management (PIM)Azure Multi-Factor Authentication (MFA)Microsoft Authenticator AppConditional Access Policies and/or Intune (Microsoft Endpoint Management)Intune RBAC, Intune ConnectorAzure AD Join/Hybrid Azure AD JoinedIntune Policies and/or Azure subscriptionsAzure BlueprintsAzure PoliciesAzure Resource Manager templates (ARM templates)/Bicep/TerraformGood-to-HaveCertified Information Systems Security Professional (CISSP)Microsoft Azure Solutions ExpertMicrosoft Azure Administrator Associate",Permanent Job
Siebel Professional,Tata Consultancy Services Limited,"Hyderabad, Chennai, Pune",Siebel-Professional,Tata-Consultancy-Services-Limited,Hyderabad-Chennai-Pune,4-8 Years,"Job descriptionMust-Have:Siebel Configuration, Siebel eScripting, Siebel Workflow using Siebel ToolsGood-to-Have:Telecom experience, Siebel EAI, Order Management, Product Configuration, Open UIResponsibility of / Expectations from the Role :Good development experience in Siebel ConfigurationGood understanding of Siebel CSS file modifications and SWT file changesGood in Integration using Webservices ( Using REST API is preferable)requirements.",Permanent Job
SAP MDG Consultant,Tata Consultancy Services Limited,"Hyderabad, Bengaluru, Chennai",SAP-MDG-Consultant,Tata-Consultancy-Services-Limited,Hyderabad-Bengaluru-Chennai,5-10 Years,"Job descriptionExperience of SAP MDG Functional Analyst Experience.Strong experience working in implementation / support / roll out project on SAP MDG for master data like Material, Business Partner ( Customer and Supplier ), Finance Master Data.Strong Experience in MDGIMG Configuration and SPRO Configuration.Strong experience in DRF, ALE/idocs, DIF, Workflow. Experience in Data Migration Techniques.6 plus years of experience in MDG Data Modeling, UI Modeling, Process Modeling, validations/derivations, and data replication.Experience with BRF+ frameworkUnderstands Material, Customer, Vendor, GL Account, Profit and Cost Center master data from the technical and business perspectivesKnowledge of master data best practices and industry standards",Permanent Job
IM Salesforce - Senior Developer,Birlasoft Limited,"Delhi NCR, Pune",IM-Salesforce-Senior-Developer,Birlasoft-Limited,Delhi-NCR-Pune,8-10 Years,"Job Title : IM Salesforce - Senior DeveloperSkills : Salesforce+ SQLExperience : 8-10yrsLocation : BLR/Chennai/Pune/NCRProfile Summary :Voya's Investment Management Sales Enablement department is growing and seeking skilled and talented people to join its Salesforce application delivery team.ؠThis position is responsible for building, enhancing, managing, and supporting multiple aspects of the Salesforce Lightning platform, including development, configuration, customization, the implementation of applications, third-party integrations, and DevOps support using the Sales and Service clouds.ؠThis role also involves collaborating with business partners, stakeholders, and team members to deliver solutions that enable the strategic business vision.ؠAn ideal candidate is team-oriented, customer-focused, and possesses a balance of technical skills and business acumen.ؠThis is an opportunity to join a high-performing, diverse, global team, and to work in a fast-paced, innovative, collaborative, continuous learning environment.Job Responsibilities :Code high-risk and/or high-complexity modules and establish patterns & practices for the team to followCollaborate with IM Distribution Leads, Project Managers, Architects, and Product Owners to establish requirements and to implement overall project plan & solution designInteract with business and technical stakeholders to understand requirements, challenges, and expectationsDefine and ensure adherence to standards & guidelines and on-time delivery of team deliverablesOwn Analysis, High Level Design/Architecture, and a direction for the projectResearch new frameworks, solutions, tools, techniques, and best practices to improve team productivityDesign and implementation of new stories and bug fixesPerform thorough design and code reviews and support code deployments/post go-live activitiesConduct root cause analysis & corrective measures on defects/issues identifiedProvide technical direction and coaching to software developers in application development activitiesAdhere to all Organizational & IT policies/processes for software development and project managementUnderstand, apply, promote, and contribute to the delivery methodologies, standards, and toolsExplore innovative technology trends and apply them in appropriate scenarios to deliver value to Team, Customer and OrganizationAssist Project Manager for successful execution of the project (estimation, dependency identification, reviews, customer satisfaction, etc.)Help the Technical/Project Manager identify and allocate the right resources, considering the project needs, skill set and aptitude of the resourcesContribute to Organizational knowledge base thus bringing in reusability and reducing operational costRequirements and Qualifications :Soft Skills :oStrong interpersonal skills, as well as excellent communication skills (verbal and written) to both technical and non-technical audiencesoStrong leadership, decision making, problem solving and analytical skillsoSelf-motivated and able to work both independently and as part of a teamoStrong time management skills, with the ability to prioritize, organize, and plan work effectivelyoAble to work with minimal oversight and direction, and the ability to grasp concepts quicklyoProactive mindset that looks for opportunities to improveoAbility to produce high quality technical analysis and documentationTechnical Skills :o6-8 years of overall IT experience with hands-on experience in coding and designing applicationso5+ years of Salesforce configuration, development, and/or administration experienceoSalesforce Lightning experienceoExperience with Sales Cloud, Service Cloud, or the Force.com platformoKnowledge and practical application of Lightning Web Components, Lightning Data Service, Lightning Framework, Visualforce, APEX programming, Test Classes, Aura components, Force.com APIs, SOQL, and Web Services (REST, SOAP, JSON)oStrong JavaScript, HTML, XML, and CSS skills with experience on at least one front-end JavaScript frameworkoExperience using Data Loader, Flows, Process Builders, and Workflow RulesoKnowledge of and/or experience using Agile execution frameworks and tools (Scrum, SAFe, ADO, VersionOne, Jira,)Additional Preferred Skills & Qualifications :o8+ years of experience as a Salesforce developer and administratoroSalesforce Administrator and Advanced Administrator certificationsoSalesforce Certified Platform Developer I and II certificationoSalesforce Marketing Cloud experienceoExperience with AutoRABIT, Flosum, Copado, Visual Studio Code, Git, and/or other code management and deployment toolsoExperience working in a DevOps delivery and support modeloAbility to guide and mentor other team membersoInvestment products and/or financial services industry experienceEducation & CertificationsoEngineering Graduate or Bachelor of Science in Computer Science/Information Science or Equivalento2+ Salesforce certificationsoAgile certifications would be a plusoInvestment Management certifications would be a plusPlease NoteoRegular work hours: 11.00 AM to 8.00 PM IST, with flexibility in work hoursoThis position allows Hybrid work schedule which requires the individual to be in office 2-3 days a weekoIndividual must be available to work US Eastern Standard Time hours as business requires",Permanent Job
C Developer,HCL Technologies Limited,Vijayawada,C-Developer,HCL-Technologies-Limited,Vijayawada,4-9 Years,"DescriptionWe are seeking a skilled C Developer with 4-9 years of experience to join our team in India. The successful candidate will be responsible for designing, developing, and maintaining high-performance software applications for our clients.ResponsibilitiesDesign, develop, and maintain efficient and reliable C codeCollaborate with cross-functional teams to identify and solve complex software problemsWrite clean, readable, and maintainable codeOptimize code for maximum performance and scalabilityDebug and troubleshoot software issuesWrite unit tests and automated tests to ensure software qualityParticipate in code reviews to ensure code meets coding standards and best practicesSkills and QualificationsBachelor's or Master's degree in Computer Science or related field4-9 years of experience in C developmentStrong proficiency in C programming languageExperience with Linux/Unix operating systemsExperience with multi-threading and concurrencyExperience with debugging and profiling toolsExperience with version control systems such as GitStrong problem-solving and analytical skillsExcellent communication and collaboration skillsAbility to work independently and in a team environmentAbility to learn and adapt to new technologies quickly",Permanent Job
Tosca Automation Tester,Capgemini Technology Services India Limited,"Hyderabad, Bengaluru, Mumbai",Tosca-Automation-Tester,Capgemini-Technology-Services-India-Limited,Hyderabad-Bengaluru-Mumbai,6-11 Years,"Role & responsibilitiesPlease find the below Job Description for your reference,Skills -Tosca Automation TestingExp 4 to 12 YearsLocation Pune, Mumbai, Bangalore & HyderabadNotice Period Immediate JoinersJob Description-Strongly skilled in Tosca, At least two successful Tosca projects (4-5 years experience in TOSCA)Candidate should have SAP ECC or S4 automation and Web applications automation experience using TOSCAShould have AS1,AS2,TDS1, TDS2,TOSCA SAP , TOSCA API Automation certificationsCandidate should have exp on QTestAPI automation using Tosca is good to have.",Permanent Job
"Looking For Pega consultant@ Bangalore ,Chennai",HCL Technologies Limited,"Bengaluru, Chennai",Looking-For-Pega-consultant-Bangalore-Chennai,HCL-Technologies-Limited,Bengaluru-Chennai,10-20 Years,"DescriptionWe are looking for an experienced Pega consultant to join our team in Bangalore or Chennai. The ideal candidate should have 10-20 years of experience in the job market context of India and possess a strong technical background in Pega technologies.ResponsibilitiesDesign and develop Pega applications to meet business requirementsWork with cross-functional teams to understand and analyze business needsProvide technical guidance and mentorship to junior team membersPerform system testing and debugging to ensure high-quality deliverablesCollaborate with clients to troubleshoot and resolve any technical issuesStay up-to-date with the latest Pega technologies and industry trendsSkills and QualificationsBachelor's or Master's degree in Computer Science or a related field10-20 years of experience in Pega technologiesStrong knowledge of Pega PRPC, Case Management, and Business Process ManagementExperience in designing and developing Pega applications using PegaRULES Process Commander (PRPC) version 7.x or higherExperience in working with Agile methodologiesExcellent communication and interpersonal skillsAbility to work independently and as part of a team",Permanent Job
Sr Architect,Birlasoft Limited,Noida,Sr-Architect,Birlasoft-Limited,Noida,10-20 Years,"DescriptionWe are seeking a Sr Architect with 10-20 years of experience to join our team in India. The ideal candidate will have a strong background in architecture, design, and engineering.ResponsibilitiesLead the design and development of complex architecture solutionsCollaborate with cross-functional teams to understand business requirements and translate them into technical solutionsProvide technical leadership and mentorship to junior team membersConduct architecture reviews and provide recommendations for improvementsEnsure solutions are scalable, secure, and meet industry standardsStay up-to-date with emerging technologies and industry trendsSkills and QualificationsBachelor's or Master's degree in Architecture or a related field10-20 years of experience in architecture and designStrong knowledge of architectural principles, design patterns, and best practicesExperience with enterprise architecture frameworks such as TOGAF or ZachmanExpertise in at least one of the following areas: cloud architecture, microservices, API design, or data architectureExcellent communication and collaboration skillsExperience leading and mentoring teamsExperience working in an Agile environment",Permanent Job
